number,title
WHA50.22,"Arrears of payment, Bosnia and Herzegovina
﻿"
WHA50.23,"Report of the task force on health in development
﻿"
WHA50.37,"Cloning in human reproduction
﻿"
WHA50.2,"WHO collaborating centres
﻿"
WHA50.3,"Guidelines on the WHO Certification Scheme on the Quality of Pharmaceutical Products moving in International Commerce
﻿"
WHA50.1,"Reimbursement of travelling expenses for attendance at the Health Assembly
﻿"
WHA50.4,"Cross-border advertising, promotion and sale of medical products through the Internet
﻿"
WHA50.5,"Interim financial report for the year 1996
﻿"
WHA50.7,"Status of collection of assessed contributions
﻿"
WHA50.6,"Transfer of funds from the Executive Board Special Fund to the Special Account for Disasters and Natural Catastrophes in the Voluntary Fund for Health Promotion
﻿"
WHA50.8,"Members in arrears in the payment of their contributions to an extent which would justify invoking Article 7 of the Constitution
﻿"
WHA50.9,"Assessment of Andorra for 1997
﻿"
WHA50.12,"Establishment of the International Vaccine Institute
﻿"
WHA50.13,"Promotion of chemical safety, with special attention to persistent organic pollutants
﻿"
WHA50.11,"Relocation of the Regional Office for the Eastern Mediterranean from Alexandria to Cairo
﻿"
WHA50.38,"Health conditions of, and assistance to, the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA50.10,"Real estate fund
﻿"
WHA50.28,"WHO reform: linking the renewed health-for-all strategy with the Tenth General Programme of Work, programme budgeting and evaluation
﻿"
WHA50.14,"Protection of the marine environment
﻿"
WHA50.15,"Recruitment of international staff in WHO: geographical representation
﻿"
WHA50.29,"Elimination of lymphatic filariasis as a public health problem
﻿"
WHA50.17,"Salaries for ungraded posts and the Director-General
﻿"
WHA50.16,"Employment and participation of women in the work of WHO
﻿"
WHA51.1,"Status of collection of assessed contributions
﻿"
WHA51.2,"Members in arrears in the payment of their contributions to an extent which would justify invoking article 7 of the Constitution
﻿"
WHA51.3,"Members in arrears in the payment of their contributions to an extent which would justify invoking article 7 of the Constitution: temporary restoration of voting privileges
﻿"
WHA51.7,"Health-for-all policy for the twenty-first century
﻿"
WHA51.6,"Expression of appreciation to Dr Hiroshi Nakajima
﻿"
WHA51.4,"Appointment of the Director-General
﻿"
WHA51.5,"Contract of the Director-General
﻿"
WHA51.10,"Ethical, scientific and social implications of cloning in human health
﻿"
WHA51.11,"Global elimination of blinding trachoma
﻿"
WHA51.13,"Tuberculosis
﻿"
WHA51.12,"Health promotion
﻿"
WHA51.16,"Promotion of horizontal technical cooperation in health sector reform in developing countries
﻿"
WHA51.17,"Emerging and other communicable diseases: antimicrobial resistance
﻿"
WHA51.15,"Elimination of leprosy as a public health problem
﻿"
WHA51.29,"The protection of human health from threats related to climate change and stratospheric ozone depletion
﻿"
WHA51.28,"Environmental matters: strategy on sanitation for high-risk communities
﻿"
WHA51.14,"Elimination of transmission of Chagas disease
﻿"
WHA51.19,"Financial report on the accounts of WHO for the financial period 1996-1997, report of the external auditor, and comments thereon of the Administration, Budget and Finance Committee (‎article 18(‎f)‎; financial regulations 11.3 and 12.9)‎
﻿"
WHA51.25,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA51.31,"Review of the Constitution and regional arrangements of the World Health Organization: regular budget allocations to regions
﻿"
WHA51.30,"Method of work of the Health Assembly
﻿"
WHA51.24,"International Decade of the World's Indigenous People
﻿"
WHA51.18,"Noncommunicable disease: prevention and control
﻿"
WHA51.26,"Review of the Constitution and regional arrangements of the World Health Organization: status of members of the Executive Board: clarification of the interpretation of article 24 of the WHO Constitution
﻿"
WHA51.27,"Health conditions of, and assistance to, the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA51.23,"Amendments to articles 24 and 25 of the Constitution
﻿"
WHA51.22,"Collaboration within the United Nations system and with other intergovernmental organizations: health of children and adolescents
﻿"
WHA51.20,"Amendments to the financial regulations
﻿"
WHA51.21,"Scale of assessments for the financial period 1998-1999
﻿"
WHA51.8,"Concerted public health action on anti-personnel mines
﻿"
WHA51.9,"Cross-border advertising, promotion and sale of medical products using the internet
﻿"
WHA52.22,"Poliomyelitis eradication
﻿"
WHA52.23,"Strengthening health systems in developing countries
﻿"
WHA52.21,"Reform of the Health Assembly
﻿"
WHA52.20,"Appropriation resolution for the financial period 2000-2001
﻿"
WHA52.18,"Towards a WHO framework convention on tobacco control
﻿"
WHA52.24,"Prevention and control of iodine deficiency disorders
﻿"
WHA52.19,"Revised drug strategy
﻿"
WHA52.1,"Status of collection of assessed contributions
﻿"
WHA52.3,"Arrears in payment of contributions: Liberia
﻿"
WHA52.2,"Arrears in payment of contributions: Latvia
﻿"
WHA52.6,"Agreement between the World Health Organization and the Universal Postal Union
﻿"
WHA52.7,"Active ageing
﻿"
WHA52.5,"Health conditions of, and assistance to, the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA52.4,"Members in arrears in the payment of their contributions to an extent which would justify invoking article 7 of the Constitution
﻿"
WHA52.9,"Reimbursement of travel expenses for attendance at regional committees
﻿"
WHA52.8,"Appointment of the external auditor
﻿"
WHA52.17,"Scale of assessments for the financial period 2000-2001
﻿"
WHA52.16,"Amendments to the financial regulations and rules
﻿"
WHA52.14,"Unaudited interim financial report on the accounts of WHO for 1998; report of the external auditor; report of the internal auditor
﻿"
WHA52.15,"Real estate fund
﻿"
WHA52.11,"Roll Back Malaria
﻿"
WHA52.10,"Smallpox eradication: destruction of variola virus stocks
﻿"
WHA52.12,"Support to Central American countries affected by Hurricane Mitch
﻿"
WHA52.13,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA53.3,"Financial report on the accounts of WHO for 1998-1999, report of the external auditor, and comments thereon made on behalf of the Executive Board; report of the internal auditor
﻿"
WHA53.2,"Members in arrears in the payment of their contributions to an extent that would justify invoking article 7 of the Constitution
﻿"
WHA53.1,"Stop Tuberculosis Initiative
﻿"
WHA53.5,"Casual income
﻿"
WHA53.4,"Real estate fund
﻿"
WHA53.6,"Amendments to the financial regulations
﻿"
WHA53.7,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA53.15,"Food safety
﻿"
WHA53.14,"HIV/AIDS: confronting the epidemic
﻿"
WHA53.16,"Framework convention on tobacco control
﻿"
WHA53.17,"Prevention and control of noncommunicable diseases
﻿"
WHA53.13,"Collaboration within the United Nations system and with other intergovernmental organizations: aligning the participation of Palestine in the World Health Organization with its participation in the United Nations
﻿"
WHA53.12,"Global Alliance for Vaccines and Immunization
﻿"
WHA53.10,"International Decade of the World's Indigenous People
﻿"
WHA53.11,"Health conditions of, and assistance to, the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA53.9,"Participation of WHO in the 1986 Vienna Convention on the Law of Treaties between States and International Organizations or between International Organizations
﻿"
WHA53.8,"Regulations for expert advisory panels and committees
﻿"
WHA54.6,"Special arrangements for settlement of arrears
﻿"
WHA54.20,"Appropriation resolution for the financial period 2002-2003
﻿"
WHA54.21,"International classification of functioning, disability and health
﻿"
WHA54.7,"Real estate fund
﻿"
WHA54.5,"Members in arrears in the payment of their contributions to an extent which would justify invoking article 7 of the Constitution
﻿"
WHA54.22,"Reform of the Executive Board
﻿"
WHA54.4,"Unaudited interim financial report on the accounts of WHO for 2000
﻿"
WHA54.1,"General programme of work
﻿"
WHA54.3,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA54.18,"Transparency in tobacco control process
﻿"
WHA54.2,"Infant and young child nutrition
﻿"
WHA54.15,"Health conditions of, and assistance to, the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA54.14,"Global health security: epidemic alert and response
﻿"
WHA54.16,"International Decade of the World's Indigenous People
﻿"
WHA54.17,"Assessments for the financial period 2002-2003
﻿"
WHA54.9,"Assessment of the Federal Republic of Yugoslavia
﻿"
WHA54.13,"Strengthening health systems in developing countries
﻿"
WHA54.12,"Strengthening nursing and midwifery
﻿"
WHA54.8,"Casual income
﻿"
WHA54.10,"Scaling up the response to HIV/AIDS
﻿"
WHA54.11,"WHO medicines strategy
﻿"
WHA55.17,"Dengue fever and dengue haemorrhagic fever prevention and control
﻿"
WHA55.5,"Arrears in payment of contributions: Azerbaijan
﻿"
WHA55.4,"Members in arrears to an extent which would justify invoking article 7 of the Constitution
﻿"
WHA55.16,"Global public health response to natural occurence, accidental release or deliberate use of biological and chemical agents or radionuclear material that affect health
﻿"
WHA55.14,"Ensuring accessibility of essential medicines
﻿"
WHA55.6,"Arrears in payment of contributions: the Dominican Republic
﻿"
WHA55.7,"Miscellaneous income
﻿"
WHA55.15,"Smallpox eradication: destruction of variola virus stocks
﻿"
WHA55.3,"Financial report on the accounts of WHO for 2000-2001; report of the external auditor, and comments thereon made on behalf of the Executive Board; report of the internal auditor
﻿"
WHA55.2,"Health conditions of, and assistance to, the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA55.10,"Mental health: responding to the call for action
﻿"
WHA55.12,"Contribution of WHO to the follow-up of the United Nations General Assembly special session on HIV/AIDS
﻿"
WHA55.1,"Centenary of the Pan American Health Organization
﻿"
WHA55.13,"Protection of medical missions during armed conflict
﻿"
WHA55.22,"Reimbursement of travel expenses for members of the Executive Board
﻿"
WHA55.23,"Diet, physical activity and health
﻿"
WHA55.21,"Amendments to the staff regulations
﻿"
WHA55.20,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA55.24,"The need for increased representation of developing countries in the Secretariat and in expert advisory panels and committees
﻿"
WHA55.18,"Quality of care: patient safety
﻿"
WHA55.19,"WHO's contribution to achievement of the development goals of the United Nations Millennium Declaration
﻿"
WHA55.25,"Infant and young child nutrition
﻿"
WHA55.9,"Revolving sales fund
﻿"
WHA55.8,"Real estate fund
﻿"
WHA56.31,"Traditional medicine
﻿"
WHA56.25,"The role of contractual arrangements in improving health systems' performance
﻿"
WHA56.19,"Prevention and control of influenza pandemics and annual epidemics
﻿"
WHA56.4,"Expression of appreciation to Dr Gro Harlem Brundtland
﻿"
WHA56.5,"Health conditions of, and assistance to, the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA56.18,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA56.24,"Implementing the recommendations of the World Report on Violence and Health
﻿"
WHA56.30,"Global health-sector strategy for HIV/AIDS
﻿"
WHA56.26,"Elimination of avoidable blindness
﻿"
WHA56.32,"Appropriation resolution for the financial period 2004-2005
﻿"
WHA56.7,"Pan African tsetse and trypanosomiasis eradication campaign
﻿"
WHA56.6,"International Conference on Primary Health Care, Alma-Ata: twenty-fifth anniversary
﻿"
WHA56.33,"Scale of assessments for the financial period 2004-2005
﻿"
WHA56.27,"Intellectual property rights, innovation and public health
﻿"
WHA56.23,"Joint FAO/WHO evaluation of the work of the Codex Alimentarius Commission
﻿"
WHA56.2,"Appointment of the Director-General
﻿"
WHA56.3,"Contract of the Director-General
﻿"
WHA56.22,"Strategic approach to international chemicals management: participation of global health partners
﻿"
WHA56.34,"Adjustment mechanism
﻿"
WHA56.20,"Reducing global measles mortality
﻿"
WHA56.1,"WHO Framework Convention on Tobacco Control
﻿"
WHA56.21,"Strategy for child and adolescent health and development
﻿"
WHA56.35,"Representation of developing countries in the Secretariat
﻿"
WHA56.10,"Members in arrears in the payment of their contributions to an extent which would justify invoking article 7 of the Constitution
﻿"
WHA56.11,"Arrears in payment of contributions: Kazakhstan
﻿"
WHA56.13,"Real estate fund
﻿"
WHA56.12,"Assessments for 2002 and 2003
﻿"
WHA56.16,"Reassignment of Cyprus from the Eastern Mediterranean Region to the European Region
﻿"
WHA56.17,"Human resources: gender balance
﻿"
WHA56.29,"Severe acute respiratory syndrome (‎SARS)‎
﻿"
WHA56.15,"Assignment of the Democratic Republic of Timor-Leste to the South-East Asia Region
﻿"
WHA56.8,"Appointment of the external auditor
﻿"
WHA56.9,"Unaudited interim financial report on the accounts of WHO for 2002
﻿"
WHA56.14,"Real estate fund: Regional Office for Africa
﻿"
WHA56.28,"Revision of the International Health Regulations
﻿"
WHA57.7,"Agreement with the Office International des Epizooties
﻿"
WHA57.12,"Reproductive health: draft strategy to accelerate progress towards the attainment of international development goals and targets
﻿"
WHA57.13,"Genomics and world health
﻿"
WHA57.6,"Arrears in payment of contributions: Ukraine
﻿"
WHA57.4,"Financial report on the accounts of WHO for 2002-2003; report of the External Auditor and comments thereon made on behalf of the Executive Board
﻿"
WHA57.11,"Family health in the context of the tenth anniversary of the International Year of the Family
﻿"
WHA57.10,"Road safety and health
﻿"
WHA57.5,"Members in arrears in the payment of their contributions to an extent that would justify invoking article 7 of the Constitution
﻿"
WHA57.14,"Scaling up treatment and care within a coordinated and comprehensive response to HIV/AIDS
﻿"
WHA57.1,"Surveillance and control of Mycobacterium ulcerans disease (‎Buruli ulcer)‎
﻿"
WHA57.15,"Scale of assessments for 2005
﻿"
WHA57.17,"Global strategy on diet, physical activity and health
﻿"
WHA57.2,"Control of human African trypanosomiasis
﻿"
WHA57.3,"Health conditions of, and assistance to, the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA57.16,"Health promotion and healthy lifestyles
﻿"
WHA57.18,"Human organ and tissue transplantation
﻿"
WHA57.19,"International migration of health personnel: a challenge for health systems in developing countries
﻿"
WHA57.8,"Rules of procedure of the World Health Assembly: amendment to Rule 72
﻿"
WHA57.9,"Eradication of dracunculiasis
﻿"
WHA58.20,"Amendments to the financial regulations and financial rules
﻿"
WHA58.34,"Ministerial Summit on Health Research
﻿"
WHA58.21,"Real estate fund
﻿"
WHA58.23,"Disability, including prevention, management and rehabilitation
﻿"
WHA58.8,"Arrears in payment of contributions: Georgia
﻿"
WHA58.9,"Arrears in payment of contributions: Iraq
﻿"
WHA58.22,"Cancer prevention and control
﻿"
WHA58.32,"Infant and young child nutrition
﻿"
WHA58.26,"Public-health problems caused by harmful use of alcohol
﻿"
WHA58.27,"Improving the containment of antimicrobial resistance
﻿"
WHA58.33,"Sustainable health financing, universal coverage and social health insurance
﻿"
WHA58.25,"United Nations reform process and WHO's role in harmonization of operational development activities at country level
﻿"
WHA58.31,"Working towards universal coverage of maternal, newborn and child health interventions
﻿"
WHA58.19,"Assessments for 2006-2007
﻿"
WHA58.18,"Unaudited interim financial report on the accounts of WHO for 2004
﻿"
WHA58.24,"Sustaining the elimination of iodine deficiency disorders
﻿"
WHA58.29,"Enhancement of laboratory biosafety
﻿"
WHA58.15,"Global immunization strategy
﻿"
WHA58.2,"Malaria control
﻿"
WHA58.3,"Revision of the International Health Regulations
﻿"
WHA58.14,"Sustainable financing for tuberculosis prevention and control
﻿"
WHA58.28,"eHealth
﻿"
WHA58.16,"Strenthening active and healthy ageing
﻿"
WHA58.1,"Health action in relation to crises and disasters, with particular emphasis on the earthquakes and tsunamis of 26 December 2004
﻿"
WHA58.17,"International migration of health personnel: a challenge for health systems in developing countries
﻿"
WHA58.13,"Blood safety: proposal to establish World Blood Donor Day
﻿"
WHA58.4,"Appropriation resolution for the financial period 2006-2007
﻿"
WHA58.5,"Strengthening pandemic influenza preparedness and response
﻿"
WHA58.12,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA58.10,"Arrears in payment of contributions: Republic of Moldova
﻿"
WHA58.7,"Members in arrears in the payment of their contributions to an extent which would justify invoking article 7 of the Constitution
﻿"
WHA58.6,"Health conditions in the occupied Palestinian territory, including East Jerusalem, and in the occupied Syrian Golan
﻿"
WHA58.11,"Arrears in payment of contributions: Tajikistan
﻿"
WHA59.8,"Arrears in payment of contributions: Central African Republic
﻿"
WHA59.17,"Outcome of the first session of the Conference of the Parties to the WHO Framework Convention on Tobacco Control
﻿"
WHA59.16,"Codex Alimentarius Commission: amendments to statutes
﻿"
WHA59.9,"Arrears in payment of contributions: Dominican Republic
﻿"
WHA59.14,"Salaries of staff iin ungraded posts and the Director-General
﻿"
WHA59.15,"Strategic approach to international chemical management
﻿"
WHA59.11,"Nutrition and HIV/AIDS
﻿"
WHA59.10,"Arrears in payment of contributions: Turkmenistan
﻿"
WHA59.12,"Implementation by WHO of the recommendations of the Global Task Force on Improving AIDS Coordination among Multinational Institutions and International Donors
﻿"
WHA59.13,"Financial report on the accounts of WHO for 2004-1005
﻿"
WHA59.1,"Eradication of poliomyelitis
﻿"
WHA59.22,"Emergency preparedness and response
﻿"
WHA59.23,"Rapid upscaling of workforce production
﻿"
WHA59.2,"Application of the International Health Regulations (‎2005)‎
﻿"
WHA59.21,"Infant and young child nutrition 2006
﻿"
WHA59.20,"Sickle-cell anaemia
﻿"
WHA59.3,"Health conditions in the occupied Palestinian territory, including east Jerusalem, and in the occupied Syrian Golan
﻿"
WHA59.7,"Arrears in payment of contributions: Armenia
﻿"
WHA59.18,"Rules of procedure of the World Health Assembly: rule 14: dispatch of documents
﻿"
WHA59.24,"Public health, innovation, essential health research and intellectual property rights: towards a global strategy and plan of action
﻿"
WHA59.25,"Prevention of avoidable blindness and visual impairment
﻿"
WHA59.19,"Prevention and control of sexually transmitted infections: global strategy
﻿"
WHA59.6,"Arrears in payment of contributions: Afghanistan
﻿"
WHA59.4,"Eleventh general programme of work, 2006-2015
﻿"
WHA59.27,"Strengthening nursing and midwifery
﻿"
WHA59.26,"International trade and health
﻿"
WHA59.5,"Members in arrears in the payment of their contributions to an extent that would justify invoking article 7 of the Constitution
﻿"
WHA60.9,"Amendments to the financial regulations and financial rules: introduction of public sector accounting standards
﻿"
WHA60.8,"Financial period 2006-2007: implementation of resolution WHA58.4
﻿"
WHA60.24,"Health promotion in a globalized world
﻿"
WHA60.30,"Public health, innovation, and intellectual property
﻿"
WHA60.18,"Malaria, including proposal for establishment of Malaria Day
﻿"
WHA60.19,"Tuberculosis control: progress and long-term planning
﻿"
WHA60.25,"Strategy for integrating gender analysis and actions into the work of WHO
﻿"
WHA60.27,"Strengthening of health information systems
﻿"
WHA60.26,"Workers' health: draft global plan of action
﻿"
WHA60.22,"Health systems: emergency-care systems
﻿"
WHA60.23,"Prevention and control of noncommunicable diseases: implementation of the global strategy
﻿"
WHA60.21,"Sustaining the elimination of iodine deficiency disorders
﻿"
WHA60.20,"Better medicines for children
﻿"
WHA60.11,"Medium-term strategic plan 2008-2013
﻿"
WHA60.10,"Amendments to the staff regulations and staff rules
﻿"
WHA60.12,"Appropriation resolution for the financial period 2008-2009
﻿"
WHA60.13,"Control of leishmaniasis
﻿"
WHA60.17,"Oral health: action plan for promotion and integrated disease prevention
﻿"
WHA60.16,"Progress in the rational use of medicines
﻿"
WHA60.28,"Pandemic influenza preparedness: sharing of influenza viruses and access to vaccines and other benefits
﻿"
WHA60.14,"Poliomyelitis: mechanism for management of potential risks to eradication
﻿"
WHA60.15,"WHO's role and responsibilities in health research
﻿"
WHA60.29,"Health technologies
﻿"
WHA60.5,"Scale of assessments 2008-2009
﻿"
WHA60.4,"Status of collection of assessed contributions, including member states in arrears in the payment of their contributions to an extent that would justify invoking article 7 of the Constitution
﻿"
WHA60.6,"Assessment of new member
﻿"
WHA60.7,"Appointment of the external auditor
﻿"
WHA60.3,"Unaudited interim financial report on the accounts of WHO for 2006 and comments thereon made by the Programme, Budget and Administration Committee of the Executive Board
﻿"
WHA60.2,"Health conditions in the occupied Palestinian territory, including east Jerusalem, and in the occupied Syrian Golan
﻿"
WHA60.1,"Smallpox eradication: destruction of variola virus stocks
﻿"
WHA61.13,"International Agency for Research on Cancer: amendments to statute
﻿"
WHA61.12,"Multilingualism: implementation of action plan
﻿"
WHA61.10,"Amendments to the staff regulations and staff rules
﻿"
WHA61.11,"Method of work of the Health Assembly
﻿"
WHA61.15,"Global immunization strategy
﻿"
WHA61.14,"Prevention and control of noncommunicable diseases: implementation of the global strategy
﻿"
WHA61.16,"Female genital mutilitation
﻿"
WHA61.17,"Health of migrants
﻿"
WHA61.9,"Report of the external auditor to the Health Assembly
﻿"
WHA61.8,"Special arrangements for settlement of arrears: Kyrgyzstan
﻿"
WHA61.6,"Miscellaneous income 2006-2007 and financing gap for strategic objectives 12 and 13
﻿"
WHA61.7,"Members in arrears in the payment of their contributions to an extent that would justify invoking article 7 of the Constitution
﻿"
WHA61.5,"Financial report and audited financial statements for the financial period 1 January - 31 December 2007
﻿"
WHA61.4,"Strategies to reduce the harmful use of alcohol
﻿"
WHA61.1,"Poliomyelitis: mechanism for management of potential risks to eradication
﻿"
WHA61.3,"Health conditions in the occupied Palestinian territory, including east Jerusalem, and in the occupied Syrian Golan
﻿"
WHA61.2,"Implementation of the International Health Regulations (‎2005)‎
﻿"
WHA61.19,"Climate change and health
﻿"
WHA61.18,"Monitoring of the achievement of the health-related Millennium Development Goals
﻿"
WHA61.20,"Infant and young child nutrition: biennial progress report
﻿"
WHA61.21,"Global strategy and plan of action on public health, innovation and intellectual property
﻿"
WHA62.8,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA62.9,"Appropriation resolution for the financial period 2010-2011
﻿"
WHA62.14,"Reducing health inequities through action on the social determinants of health
﻿"
WHA62.15,"Prevention and control of multidrug-resistant tuberculosis and extensively drug-resistant tuberculosis
﻿"
WHA62.16,"Global strategy and plan of action on public health, innovation and intellectual property
﻿"
WHA62.12,"Primary health care, includiing health system strengthening
﻿"
WHA62.13,"Traditional medicine
﻿"
WHA62.11,"Medium-term strategic plan 2008-2013, including programme budget 2010-2011
﻿"
WHA62.10,"Pandemic influenza preparedness: sharing of influenza viruses and access to vaccines and other benefis
﻿"
WHA62.7,"Amendments to staff regulations
﻿"
WHA62.6,"Amendments to the financial regulations and financial rules
﻿"
WHA62.4,"Status of collection of assessed contributions, including member states in arrears in the payment of their contributions to an extent that would justify invoking article 7 of the Constitution
﻿"
WHA62.5,"Scale of assessments 2010-2011
﻿"
WHA62.1,"Prevention of avoidable blindness and visual impairment
﻿"
WHA62.2,"Health conditions in the occupied Palestinian territory, including east Jerusalem and in the occupied Syrian Golan
﻿"
WHA62.3,"Unaudited interim financial report on the accounts of WHO for 2008
﻿"
WHA63.16,"WHO global code of practice on the international recruitment of health personnel
﻿"
WHA63.17,"Birth defects
﻿"
WHA63.15,"Monitoring of the achievement of the health-related Millennium Development Goals
﻿"
WHA63.14,"Marketing of food and non-alcoholic beverages to children
﻿"
WHA63.28,"Establishment of a consultative working group on research and development: financing and coordination
﻿"
WHA63.10,"Partnerships
﻿"
WHA63.11,"Agreements with intergovernmental organizations
﻿"
WHA63.13,"Global strategy to reduce the harmful use of alcohol
﻿"
WHA63.12,"Availability, safety and quality of blood products
﻿"
WHA63.8,"Report of the external auditor
﻿"
WHA63.9,"Salaries of staff in ungraded posts
﻿"
WHA63.4,"Financial report and audited financial statements for the period 1 January 2008-31 December 2009
﻿"
WHA63.5,"Scale of assessments 2010-2011
﻿"
WHA63.7,"The Capital Master Plan
﻿"
WHA63.6,"Safety and security of staff and premises
﻿"
WHA63.2,"Health conditions in the occupied Palestinian territory, including east Jerusalem, and in the occupied Syrian Golan
﻿"
WHA63.3,"Advancing food safety initiatives
﻿"
WHA63.1,"Pandemic influenza preparedness: sharing of influenza viruses and access to vaccines and other benefits
﻿"
WHA63.23,"Infant and young child nutrition
﻿"
WHA63.22,"Human organ and tissue transplantation
﻿"
WHA63.20,"Chagas disease: control and elimination
﻿"
WHA63.21,"WHO's role and responsibilities in health research
﻿"
WHA63.25,"Improvement of health through safe and environmentally sound waste management
﻿"
WHA63.19,"WHO HIV/AIDS strategy for 2011-2015
﻿"
WHA63.18,"Viral hepatitis
﻿"
WHA63.24,"Accelerated progress towards achievement of Millennium Goal 4 to reduce child mortality: prevention and treatment of pneumonia
﻿"
WHA63.26,"Improvement of health through sound management of obsolete pesticides and other obsolete chemicals
﻿"
WHA63.27,"Strengthening the capacity of governments to constructively engage the private sector in providing essential health-care services
﻿"
WHA64.23,"Appointment of the external auditor
﻿"
WHA64.8,"Strengthening national policy dialogue to build more robust health policies, strategies and plans
﻿"
WHA64.9,"Sustainable health financing structures and universal coverage
﻿"
WHA64.22,"Amendments to the financial regulations
﻿"
WHA64.20,"Special arrangements for settlement of arrears
﻿"
WHA64.21,"Scale of assessments for 2012-2013
﻿"
WHA64.19,"Status of collection of assessed contributions, including member states in arrears in the payment of their contributions to an extent that would justify invoking article 7 of the Constitution
﻿"
WHA64.25,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA64.24,"Drinking-water, sanitation and health
﻿"
WHA64.18,"Unaudited interim financial report on the accounts of WHO for the year 2010
﻿"
WHA64.26,"International Agency for Research on Cancer: amendments to statute
﻿"
WHA64.27,"Child injury prevention
﻿"
WHA64.16,"Eradication of dracunculiasis
﻿"
WHA64.1,"Implementation of the International Health Regulations (‎2005)‎
﻿"
WHA64.17,"Malaria
﻿"
WHA64.15,"Cholera: mechanism for control and prevention
﻿"
WHA64.2,"WHO reform
﻿"
WHA64.3,"Appropriation resolution for the financial period 2012-2013
﻿"
WHA64.28,"Youth and health risks
﻿"
WHA64.14,"Global health sector strategy on HIV/AIDS, 2011-2015
﻿"
WHA64.10,"Strengthening national health emergency and disaster management capacities and resilience of health systems
﻿"
WHA64.7,"Strengthening nursing and midwifery
﻿"
WHA64.6,"Health workforce strengthening
﻿"
WHA64.11,"Preparations for the high-level meeting of the United Nations General Assembly on the prevention and control of noncommunicable diseases, following on the Moscow Conference
﻿"
WHA64.13,"Working towards the reduction of perinatal and neonatal mortality
﻿"
WHA64.4,"Health conditions in the occupied Palestinian territory, including east Jerusalem, and in the occupied Syrian Golan
﻿"
WHA64.5,"Pandemic influenza preparedness: sharing of influenza viruses and access to vaccines and other benefits
﻿"
WHA64.12,"WHO's role in the follow-up to the United Nations high-level plenary meeting of the General Assembly on the Millennium Development Goals (‎New York, September 2010)‎
﻿"
WHA65.14,"Salaries of staff in ungraded posts and of the Director-General
﻿"
WHA65.15,"Election of the Director-General of the World Health Organization: report of the working group
﻿"
WHA65.17,"Global vaccine action plan
﻿"
WHA65.8,"Outcome of the World Conference on Social Determinants of Health
﻿"
WHA65.9,"Health conditions in the occupied Palestinian territory, including east Jerusalem, and in the occupied Syrian Golan
﻿"
WHA65.16,"Agreements with intergovernmental organizations
﻿"
WHA65.12,"Special arrangements for settlement of arrears
﻿"
WHA65.13,"Report of the external auditor
﻿"
WHA65.11,"Status of collection of assessed contributions, including Member States in arrears in the payment of their contributions to an extent that would justify invoking Article 7 of the Constitution
﻿"
WHA65.10,"Financial report and audited financial statements for the period 1 January 2010-31 December 2011
﻿"
WHA65.21,"Elimination of schistosomiasis
﻿"
WHA65.2,"Contract of the Director-General
﻿"
WHA65.3,"Strengthening noncommunicable disease policies to promote active ageing
﻿"
WHA65.20,"WHO's response, and role as the health cluster lead, in meeting the growing demands of health in humanitarian emergencies
﻿"
WHA65.22,"Follow-up of the report of the Consultative Expert Working Group on Research and Development: financing and coordination
﻿"
WHA65.1,"Appointment of the Director-General
﻿"
WHA65.23,"Implementation of the International Health Regulations (‎2005)‎
﻿"
WHA65.4,"The global burden of mental disorders and the need for a comprehensive, coordinated response from health and social sectors at the country level
﻿"
WHA65.5,"Poliomyelitis: intensification of the global eradication initiative
﻿"
WHA65.18,"World immunization week
﻿"
WHA65.7,"Implementation of the recommendations of the Commission on Information and Accountability for Women's and Children's Health
﻿"
WHA65.6,"Maternal, infant and young child nutrition
﻿"
WHA65.19,"Substandard/spurious/falsely-labelled/falsified/counterfeit medical products
﻿"
WHA66.9,"Disability
﻿"
WHA66.19,"Real estate
﻿"
WHA66.18,"Follow-up of the report of the Working Group on the Election of the Director-General of the World Health Organization
﻿"
WHA66.24,"eHealth standardization and interoperability
﻿"
WHA66.8,"Comprehensive mental health action plan 2013–2020
﻿"
WHA66.20,"Agreement between the World Health Organization and the South Centre
﻿"
WHA66.21,"Reassignment of South Sudan from the Eastern Mediterranean Region to the African Region
﻿"
WHA66.23,"Transforming health workforce education in support of universal health coverage
﻿"
WHA66.22,"Follow up of the report of the Consultative Expert Working Group on Research and Development: Financing and Coordination
﻿"
